가게명,별점,주소,카테고리,위도,경도
무등거리,,광주 남구 군분로 32,요리주점,35.1366405837164,126.894635141908
밥FULL 첨단점,,광주 광산구 첨단중앙로 23 1층 밥FULL,퓨전음식,35.2195652031055,126.835520947602
밥FULL 광주 보건대점,0.0,광주 광산구 북문대로419번길 45,퓨전음식,35.1925812860951,126.846952376005
어나더키친,4.46,광주 서구 시청로60번길 21-9 메가박스,양식,35.1546098380842,126.853887060402
아웃백스테이크하우스 광주광천점,4.46,광주 서구 죽봉대로 68 다나메디컬센터 2층,패밀리레스토랑,35.1594497896979,126.883696052996
어나더키친 수완점,4.53,광주 광산구 임방울대로 353,양식,35.1916253606285,126.823411255793
HAGOS,4.3,광주 동구 천변우로 405-15,양식,35.1456869028705,126.914272406439
아웃백스테이크하우스 광주상무점,4.51,광주 서구 상무연하로 41,패밀리레스토랑,35.1520215075036,126.849916122318
테스타,4.48,광주 남구 백서로 58-1 테스타,이탈리아음식,35.1377198191193,126.914733933209
명품상무팥죽 상무본점,4.35,광주 서구 마륵로 100,상무팥죽,35.1457073145851,126.842472227221
애슐리퀸즈 NC 충장점,4.24,광주 동구 중앙로 163 10층,패밀리레스토랑,35.148781548864,126.91313695091
카페바리에,4.39,광주 동구 서석로7번길 14,카페,35.146139762915,126.914167789581
르시엘블루 봉선점,4.54,광주 남구 봉선중앙로 133,"스파게티,파스타전문",35.132820309409,126.910401230654
퀸즈퀸즈,4.42,광주 광산구 풍영로200번길 75 1층 퀸즈퀸즈,"카페,디저트",35.189862356667,126.818321904969
르시엘블루,4.27,광주 서구 상무대로 718,브런치,35.1433863178319,126.842755425795
오퀴진,4.38,광주 광산구 수완로50번길 44-7 1층 오퀴진,"스파게티,파스타전문",35.1882918845082,126.830992467281
궁전제과 충장점,4.36,광주 동구 충장로 93-6,베이커리,35.1477258560226,126.917627677437
장진우식당광주,4.52,광주 동구 제봉로110번길 20,양식,35.1490660901589,126.923971752416
나정상회,4.28,광주 서구 상무자유로 24,"육류,고기요리",35.1510887886941,126.836680260637
커볶,4.35,광주 동구 지호로 161-7,카페,35.150029074201,126.945105223515
유향,4.39,광주 광산구 용아로400번길 33,중식당,35.179148802848,126.806924599572
상무초밥 용봉직영점,4.45,광주 북구 용봉택지로 95,"초밥,롤",35.1786662098531,126.896953006503
상무지구맛집 구르메키친,4.49,광주 서구 마륵로 108,양식,35.1459167305703,126.843399331336
코발트,4.46,광주 동구 동계천로 143-42,"스파게티,파스타전문",35.1498571408164,126.925448605044
수궁,4.15,광주 동구 의재로136번길 22,"육류,고기요리",35.1317265576429,126.943938026902
